"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[cell line]"	"Sample Characteristic Ontology Term[cell line]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[specimen with known storage state]"	"Sample Characteristic Ontology Term[specimen with known storage state]"	"Sample Characteristic[cell cycle phase]"	"Sample Characteristic Ontology Term[cell cycle phase]"	"Factor Value[cell cycle phase]"	"Factor Value Ontology Term[cell cycle phase]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"
"ERR580012"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"G1"		"G1"		"G1_cell8"	
"ERR580013"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"G2/M"		"G2/M"		"G2M_cell17"	
"ERR580014"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"S"		"S"		"S_cell5"	
"ERR580015"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"G1"		"G1"		"G1_cell62"	
"ERR580016"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"S"		"S"		"S_cell87"	
"ERR580017"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"S"		"S"		"S_cell16"	
"ERR580018"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"S"		"S"		"S_cell50"	
"ERR580019"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"S"		"S"		"S_cell37"	
"ERR580020"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"S"		"S"		"S_cell39"	
"ERR580021"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"G2/M"		"G2/M"		"G2M_cell40"	
